GEOID,NAME,pwd_est,pwd_moe,total_est,total_moe,pwd_perc_est,pwd_perc_moe
010510312001,"Block Group 1, Census Tract 312, Elmore County, Alabama",130,52.41183072551463,586,156,0.22184300341296928,0.1071786428846129
010730001001,"Block Group 1, Census Tract 1, Jefferson County, Alabama",132,87.97726979169109,538,230,0.24535315985130113,0.19427556379374297
010730001002,"Block Group 2, Census Tract 1, Jefferson County, Alabama",142,103.57605900979242,544,179,0.2610294117647059,0.2088736615231992
010730001003,"Block Group 3, Census Tract 1, Jefferson County, Alabama",78,67,372,134,0.20967741935483872,0.19530321419287164
010730001004,"Block Group 4, Census Tract 1, Jefferson County, Alabama",153,106.1602562167217,383,171,0.39947780678851175,0.3296064400076394
010730001005,"Block Group 5, Census Tract 1, Jefferson County, Alabama",92,64.29618962271404,461,147,0.19956616052060738,0.15330278529570382
010730003001,"Block Group 1, Census Tract 3, Jefferson County, Alabama",131,68.98550572402873,539,163,0.24304267161410018,0.1475907082406902
010730003002,"Block Group 2, Census Tract 3, Jefferson County, Alabama",149,95.88013350011565,552,197,0.26992753623188404,0.19862094199928396
010730003003,"Block Group 3, Census Tract 3, Jefferson County, Alabama",34,39.21734310225516,445,314,0.07640449438202247,0.1033113805881962
010730004001,"Block Group 1, Census Tract 4, Jefferson County, Alabama",101,77.25283166331187,535,295,0.18878504672897195,0.17800785254542031
010730004002,"Block Group 2, Census Tract 4, Jefferson County, Alabama",308,148.26665167865633,693,253,0.4444444444444444,0.26851753423325025
010730004003,"Block Group 3, Census Tract 4, Jefferson County, Alabama",168,111.71839597846005,647,266,0.2596599690880989,0.20300673520070375
010730004004,"Block Group 4, Census Tract 4, Jefferson County, Alabama",126,98.8736567544662,265,204,0.47547169811320755,0.522668999192155
010730004005,"Block Group 5, Census Tract 4, Jefferson County, Alabama",25,25.238858928247925,497,245,0.05030181086519115,0.05651307912929407
010730005001,"Block Group 1, Census Tract 5, Jefferson County, Alabama",88,52.583267300539625,568,211,0.15492957746478872,0.10900781357737117
010730005002,"Block Group 2, Census Tract 5, Jefferson County, Alabama",190,112.05802068571441,611,205,0.3109656301145663,0.21100112617865263
010730005003,"Block Group 3, Census Tract 5, Jefferson County, Alabama",87,65.36818798161687,372,198,0.23387096774193547,0.21534401550140944
010730005004,"Block Group 4, Census Tract 5, Jefferson County, Alabama",261,106.74736530706507,635,201,0.4110236220472441,0.2125713708233741
010730007001,"Block Group 1, Census Tract 7, Jefferson County, Alabama",106,65.55913361233506,371,164,0.2857142857142857,0.217204382591922
010730007002,"Block Group 2, Census Tract 7, Jefferson County, Alabama",249,143.1467778191322,792,133,0.3143939393939394,0.18829412799377382
010730007003,"Block Group 3, Census Tract 7, Jefferson County, Alabama",278,86.45808232895291,597,123,0.4656616415410385,0.17371713793385826
010730008001,"Block Group 1, Census Tract 8, Jefferson County, Alabama",101,68.68769904429759,707,196,0.14285714285714285,0.10491579581698837
010730008002,"Block Group 2, Census Tract 8, Jefferson County, Alabama",157,81.12952606788727,494,184,0.31781376518218624,0.2024458012652469
010730008003,"Block Group 3, Census Tract 8, Jefferson County, Alabama",277,145.36505769957236,709,253,0.3906911142454161,0.24793747461092747
010730008004,"Block Group 4, Census Tract 8, Jefferson County, Alabama",222,184.66726835040367,348,194,0.6379310344827587,0.6387989603909211
010730008005,"Block Group 5, Census Tract 8, Jefferson County, Alabama",165,99.1917335265394,482,201,0.34232365145228216,0.2504572244267682
010730011001,"Block Group 1, Census Tract 11, Jefferson County, Alabama",156,102.112682855755,482,228,0.3236514522821577,0.26138063490341734
010730011002,"Block Group 2, Census Tract 11, Jefferson County, Alabama",108,80.29943959953893,408,201,0.2647058823529412,0.2360952700271431
010730011003,"Block Group 3, Census Tract 11, Jefferson County, Alabama",116,108.74741376235114,966,373,0.12008281573498965,0.12174997421416427
010730011004,"Block Group 4, Census Tract 11, Jefferson County, Alabama",193,136.7845020461017,864,401,0.22337962962962962,0.189241321478562
010730011005,"Block Group 5, Census Tract 11, Jefferson County, Alabama",122,113.21660655575224,719,301,0.16968011126564672,0.1727448672734211
010730011006,"Block Group 6, Census Tract 11, Jefferson County, Alabama",120,145.74635501445653,203,180,0.5911330049261084,0.8889380423689114
010730012001,"Block Group 1, Census Tract 12, Jefferson County, Alabama",134,78.64477096412705,590,177,0.2271186440677966,0.1497008411993352
010730012002,"Block Group 2, Census Tract 12, Jefferson County, Alabama",158,80.51086883148137,560,182,0.28214285714285714,0.17052236765274506
010730012003,"Block Group 3, Census Tract 12, Jefferson County, Alabama",96,70.04998215560087,270,97,0.35555555555555557,0.28918511537999414
010730012004,"Block Group 4, Census Tract 12, Jefferson County, Alabama",163,85.95929269136641,815,202,0.2,0.11653961634774107
010730014001,"Block Group 1, Census Tract 14, Jefferson County, Alabama",164,70.53367989832942,456,126,0.35964912280701755,0.18385147725169668
010730014002,"Block Group 2, Census Tract 14, Jefferson County, Alabama",152,56.79788728465171,589,165,0.25806451612903225,0.12052071026827244
010730014003,"Block Group 3, Census Tract 14, Jefferson County, Alabama",139,62,575,174,0.2417391304347826,0.13029863097274585
010730015001,"Block Group 1, Census Tract 15, Jefferson County, Alabama",188,99.24212815130478,672,257,0.27976190476190477,0.1823656847476827
010730015002,"Block Group 2, Census Tract 15, Jefferson County, Alabama",176,94.94208761134337,614,195,0.28664495114006516,0.1794366766371861
010730015003,"Block Group 3, Census Tract 15, Jefferson County, Alabama",178,113.25193155085701,572,169,0.3111888111888112,0.21829920327527405
010730015004,"Block Group 4, Census Tract 15, Jefferson County, Alabama",154,90.36592278065886,514,209,0.29961089494163423,0.2138936617779251
010730016001,"Block Group 1, Census Tract 16, Jefferson County, Alabama",180,112.1160113453917,424,247,0.42452830188679247,0.3620517557686668
010730016002,"Block Group 2, Census Tract 16, Jefferson County, Alabama",191,132.03029955279206,571,202,0.3345008756567426,0.2597475617602635
010730016003,"Block Group 3, Census Tract 16, Jefferson County, Alabama",41,40.049968789001575,294,185,0.13945578231292516,0.16204207642511248
010730016004,"Block Group 4, Census Tract 16, Jefferson County, Alabama",186,119.67873662434776,874,266,0.2128146453089245,0.1514778406803704
010730019021,"Block Group 1, Census Tract 19.02, Jefferson County, Alabama",158,63.00793600809346,566,132,0.2791519434628975,0.12896049180314254
010730019022,"Block Group 2, Census Tract 19.02, Jefferson County, Alabama",33,30.610455730027933,424,107,0.07783018867924528,0.07481854590976822
010730019023,"Block Group 3, Census Tract 19.02, Jefferson County, Alabama",103,53.80520420925842,497,144,0.20724346076458752,0.12379737590789257
010730020001,"Block Group 1, Census Tract 20, Jefferson County, Alabama",133,77.3692445355388,949,257,0.14014752370916755,0.08992855019392482
010730020002,"Block Group 2, Census Tract 20, Jefferson County, Alabama",440,143.6419158880861,1322,368,0.3328290468986384,0.1427922358673499
010730020003,"Block Group 3, Census Tract 20, Jefferson County, Alabama",119,90.6697303403953,872,427,0.13646788990825687,0.12360130575235578
010730021001,"Block Group 1, Census Tract 21, Jefferson County, Alabama",434,154.45387661046257,1015,300,0.42758620689655175,0.19780811771743828
010730021002,"Block Group 2, Census Tract 21, Jefferson County, Alabama",165,92.5418824100742,525,146,0.3142857142857143,0.1967490778607089
010730021003,"Block Group 3, Census Tract 21, Jefferson County, Alabama",20,25.179356624028344,337,170,0.05934718100890208,0.08049085670268762
010730022001,"Block Group 1, Census Tract 22, Jefferson County, Alabama",300,95.4934552731233,1136,203,0.2640845070422535,0.096401663054048
010730022002,"Block Group 2, Census Tract 22, Jefferson County, Alabama",214,89.00561780022652,908,152,0.2356828193832599,0.10566573022022976
010730023031,"Block Group 1, Census Tract 23.03, Jefferson County, Alabama",146,88.24397996464121,563,241,0.25932504440497334,0.19206712608958404
010730023032,"Block Group 2, Census Tract 23.03, Jefferson County, Alabama",155,63.047601064592456,734,278,0.2111716621253406,0.1173669293680927
010730023033,"Block Group 3, Census Tract 23.03, Jefferson County, Alabama",157,97.3344748791506,347,114,0.45244956772334294,0.31745342759868306
010730023034,"Block Group 4, Census Tract 23.03, Jefferson County, Alabama",147,79.18333157931662,673,223,0.21842496285289748,0.13813563685139926
010730023051,"Block Group 1, Census Tract 23.05, Jefferson County, Alabama",143,95.4515583948214,1536,257,0.09309895833333333,0.0640655241038632
010730023052,"Block Group 2, Census Tract 23.05, Jefferson County, Alabama",64,44.15880433163923,955,133,0.06701570680628273,0.047172085177974735
010730023061,"Block Group 1, Census Tract 23.06, Jefferson County, Alabama",128,64.29618962271404,641,121,0.1996879875195008,0.10715498628428904
010730023062,"Block Group 2, Census Tract 23.06, Jefferson County, Alabama",157,78.36453279386026,1580,258,0.09936708860759494,0.052184459085760804
010730023063,"Block Group 3, Census Tract 23.06, Jefferson County, Alabama",124,65.0384501660364,1028,199,0.12062256809338522,0.06743839222146801
010730024001,"Block Group 1, Census Tract 24, Jefferson County, Alabama",193,88.6227961644181,736,173,0.26222826086956524,0.1352706064520072
010730024002,"Block Group 2, Census Tract 24, Jefferson County, Alabama",65,45.617978911828175,489,218,0.1329243353783231,0.11051832753131649
010730024003,"Block Group 3, Census Tract 24, Jefferson County, Alabama",104,60.382116557802114,502,178,0.20717131474103587,0.14094066569893512
010730024004,"Block Group 4, Census Tract 24, Jefferson County, Alabama",50,51.67204273105525,440,141,0.11363636363636363,0.1229528186161756
010730024005,"Block Group 5, Census Tract 24, Jefferson County, Alabama",97,55.072679252057455,427,133,0.22716627634660422,0.14710974305247182
010730024006,"Block Group 6, Census Tract 24, Jefferson County, Alabama",80,58.93216439263028,487,152,0.16427104722792607,0.13142423149797083
010730027001,"Block Group 1, Census Tract 27, Jefferson County, Alabama",319,133.64131097830492,1638,280,0.19474969474969475,0.0881185499120511
010730027002,"Block Group 2, Census Tract 27, Jefferson County, Alabama",158,85.60957890329796,479,122,0.3298538622129436,0.19748675146084252
010730027003,"Block Group 3, Census Tract 27, Jefferson County, Alabama",248,116.09909560371261,441,135,0.562358276643991,0.31455259305768857
010730029001,"Block Group 1, Census Tract 29, Jefferson County, Alabama",210,117.00854669638453,774,241,0.2713178294573643,0.17317740889846595
010730029002,"Block Group 2, Census Tract 29, Jefferson County, Alabama",99,59.53990258641679,760,267,0.13026315789473683,0.09072906748400608
