GEOID,metro_state,POP
0162075,"Powell, AL",967
0163288,"Rainbow City, AL",9611
0153376,"Natural Bridge, AL",35
0159640,"Piedmont, AL",4535
0100988,"Albertville, AL",21711
0177904,"Uniontown, AL",2227
0176632,"Toxey, AL",124
0158968,"Pennington, AL",204
0180256,"Waverly, AL",144
0129392,"Geiger, AL",151
0151000,"Montgomery, AL",198525
0135152,"Hobson City, AL",755
0119816,"Daviston, AL",210
0128432,"Fruithurst, AL",280
0125240,"Fairhope, AL",22677
0180064,"Waterloo, AL",197
0108248,"Bon Air, AL",110
0130448,"Goldville, AL",54
0102956,"Athens, AL",27366
0134096,"Henagar, AL",2363
0143120,"Lincoln, AL",6781
0112160,"Carolina, AL",295
0103364,"Avon, AL",510
0104900,"Beatrice, AL",278
0141968,"Leeds, AL",12040
0138416,"Jasper, AL",13431
0128696,"Gadsden, AL",35000
0183664,"Woodville, AL",723
0129704,"Gilbertown, AL",193
0153256,"Napier Field, AL",344
0164368,"Repton, AL",258
0107000,"Birmingham, AL",209403
0126896,"Florence, AL",40797
0129032,"Garden City, AL",501
0129560,"Georgiana, AL",1608
0145640,"McMullen, AL",9
0115376,"Clayton, AL",2847
0102836,"Ashford, AL",2181
0157576,"Oxford, AL",21225
0177784,"Union Grove, AL",79
0140672,"La Fayette, AL",2910
0118976,"Cullman, AL",16034
0101852,"Anniston, AL",21287
0171976,"Spanish Fort, AL",9214
0182992,"Winfield, AL",4519
0132272,"Gulf Shores, AL",12757
0109808,"Brookwood, AL",1848
0142808,"Libertyville, AL",113
0101132,"Alexander City, AL",14317
0147848,"Megargel, AL",NA
0106460,"Billingsley, AL",142
0107672,"Blue Springs, AL",87
0168160,"Saraland, AL",14649
0104852,"Bear Creek, AL",1068
0108104,"Boligee, AL",280
0121952,"Dutton, AL",314
0135632,"Hollywood, AL",984
0148712,"Millbrook, AL",15896
0157048,"Opelika, AL",30908
0157504,"Owens Cross Roads, AL",2129
0132704,"Haleyville, AL",4142
0158848,"Pelham, AL",23911
0130160,"Glenwood, AL",183
0159328,"Petrey, AL",56
0132056,"Grimes, AL",556
0157648,"Ozark, AL",14284
0123176,"Edwardsville, AL",196
0100124,"Abbeville, AL",2560
0130880,"Goshen, AL",255
0133712,"Hayneville, AL",784
0140096,"Kinston, AL",547
0153856,"New Brockton, AL",1261
0155440,"Notasulga, AL",823
0146072,"Magnolia Springs, AL",823
0122504,"East Point, AL",NA
0149072,"Minor, AL",NA
0171040,"Slocomb, AL",1898
0126200,"Five Points, AL",143
0105212,"Belle Fontaine, AL",NA
0178120,"Uriah, AL",NA
0135392,"Hokes Bluff, AL",4257
