var_readable,var_topic,var_pretty,var_database,is_demographics,is_community_living,is_community_participation,is_work_economic,national_dropdown_label,national_summary_text
pop_total,Overview,Total Population,S1810_C01_001,TRUE,FALSE,TRUE,FALSE,Total Population,
pwd_total,Overview,People with Disabilities,S1810_C02_001,TRUE,FALSE,TRUE,FALSE,,
pwd_pct,Overview,Percent of People with Disabilities,,TRUE,FALSE,FALSE,FALSE,Percent of People with Disabilities,
pop_18_64,Age,"Total Population, Age 18 - 34",S1810_C01_015,TRUE,FALSE,FALSE,FALSE,,
pop_18_64,Age,"Total Population, Age 35 - 64",S1810_C01_016,TRUE,FALSE,FALSE,FALSE,,
pwd_0_5,Age,"People with Disabilities, Age 0 - 5",S1810_C02_013,TRUE,FALSE,FALSE,FALSE,,
pwd_5_17,Age,"People with Disabilities, Age 5 - 17",S1810_C02_014,TRUE,FALSE,FALSE,FALSE,,
pwd_18_64,Age,"People with Disabilities, Age 18 - 34",S1810_C02_015,TRUE,FALSE,FALSE,FALSE,,
pwd_18_64,Age,"People with Disabilities, Age 35 - 64",S1810_C02_016,TRUE,FALSE,FALSE,FALSE,,
pwd_18_64_pct,Age,"Percent of People with Disabilities, Age 18 - 64",,TRUE,FALSE,FALSE,FALSE,"Percent of People with Disabilities, Age 18 - 64",
pop_grtoeq_65,Age,"Total Population, Age 65 - 74",S1810_C01_017,TRUE,FALSE,FALSE,FALSE,,
pop_grtoeq_65,Age,"Total Population, Age 75 or Older",S1810_C01_018,TRUE,FALSE,FALSE,FALSE,,
pwd_grtoeq_65,Age,"People with Disabilities, Age 65 - 74",S1810_C02_017,TRUE,FALSE,FALSE,FALSE,,
pwd_grtoeq_65,Age,"People with Disabilities, Age 75 or Older",S1810_C02_018,TRUE,FALSE,FALSE,FALSE,,
pwd_grtoeq_65_pct,Age,"Percent of People with Disabilities, Age 65 or Older",,TRUE,FALSE,FALSE,FALSE,"Percent of People with Disabilities, Age 65 and Older",
pwd_white,Race,"People with Disabilities, White",S1810_C02_004,TRUE,FALSE,FALSE,FALSE,,
pwd_black,Race,"People with Disabilities, Black or African American alone",S1810_C02_005,TRUE,FALSE,FALSE,FALSE,,
pwd_hisp,Race,"People with Disabilities, Hispanic",S1810_C02_012,TRUE,FALSE,FALSE,FALSE,,
pwd_white_nonhisp,Race,"People with Disabilities, Not Hispanic, White alone",S1810_C02_011,TRUE,FALSE,FALSE,FALSE,,
pwd_other,Race,"People with Disabilities, American Indian and Alaskan Native alone",S1810_C02_006,TRUE,FALSE,FALSE,FALSE,,
pwd_other,Race,"People with Disabilities, Asian alone",S1810_C02_007,TRUE,FALSE,FALSE,FALSE,,
pwd_other,Race,"People with Disabilities, Native Hawaiian or Other Pacific Islander alone",S1810_C02_008,TRUE,FALSE,FALSE,FALSE,,
pwd_other,Race,"People with Disabilities, Some other race alone",S1810_C02_009,TRUE,FALSE,FALSE,FALSE,,
pwd_other,Race,"People with Disabilities, Two or more races",S1810_C02_010,TRUE,FALSE,FALSE,FALSE,,
pwd_white_pct,Race,"Percent of People with Disabilities, White alone",,TRUE,FALSE,FALSE,FALSE,"Percent of People with Disabilities, White alone","According to the U.S. Census Bureau, white is defined as a person having origins in any of the original peoples of Europe, the Middle East, or North Africa."
pwd_black_pct,Race,"Percent of People with Disabilities, Black alone",,TRUE,FALSE,FALSE,FALSE,"Percent of People with Disabilities, Black alone","According to the U.S. Census Bureau, Black or African American is defined as a person having origins in any of the Black racial groups of Africa."
pwd_hisp_pct,Race,"Percent of People with Disabilities, Hispanic alone",,TRUE,FALSE,FALSE,FALSE,"Percent of People with Disabilities, Hispanic alone","According to the U.S. Census Bureau, Hispanic or Latino is defined as a person of Cuban, Mexican, Puerto Rican, South or Central American, or other Spanish culture or origin regardless of race."
pwd_white_nonhisp_pct,Race,"Percent of People with Disabilities, White Non-Hispanic alone",,TRUE,FALSE,FALSE,FALSE,"Percent of People with Disabilities, White Non-Hispanic alone","According to the U.S. Census Bureau, Hispanic or Latino is defined as a person of Cuban, Mexican, Puerto Rican, South or Central American, or other Spanish culture or origin regardless of race."
pwd_other_pct,Race,"Percent of People with Disabilities, Another Race alone",,TRUE,FALSE,FALSE,FALSE,"Percent of People with Disabilities, Another Race alone","According to the U.S. Census Bureau, other races include American Indian or Alaska Native, defined as A person having origins in any of the original peoples of North and South America (including Central America) and who maintains tribal affiliation or community attachment, and Native Hawaiian or Other Pacific Islander defined as a person having origins in any of the original peoples of Hawaii, Guam, Samoa, or other Pacific Islands."
pop_female,Sex,"Total Population, Female",S1810_C01_003,TRUE,FALSE,FALSE,FALSE,,
pwd_female,Sex,"People with Disabilities, Female",S1810_C02_003,TRUE,FALSE,FALSE,FALSE,,
female_pwd_pct,Sex,"Percent of People with Disabilities, Female",,TRUE,FALSE,FALSE,FALSE,"Percent of People with Disabilities, Female","According to the U.S. Census, biological sex is defined as female or male."
pwd_female_pct,Sex,Percent of Female Population with Disabilities,,TRUE,FALSE,FALSE,FALSE,,
pop_male,Sex,"Total Population, Male",S1810_C01_002,TRUE,FALSE,FALSE,FALSE,,
