NAME,pwd_nursing_18_64_pct,pwd_grpquarters_institution_pct,pwd_grpquarters_noninstitution_pct,pwd_home_pct,pwd_corrections_pct,pwd_housing_choice_voucher_pct,pwd_pubhousing_pct,z_pwd_nursing_18_64_pct,z_pwd_grpquarters_institution_pct,z_pwd_grpquarters_noninstitution_pct,z_pwd_home_pct,z_pwd_corrections_pct,z_pwd_housing_choice_voucher_pct,z_pwd_pubhousing_pct,score_pwd_nursing_18_64_pct,score_pwd_grpquarters_institution_pct,score_pwd_grpquarters_noninstitution_pct,score_pwd_home_pct,score_pwd_corrections_pct,score_pwd_housing_choice_voucher_pct,score_pwd_pubhousing_pct,Living in Community Score,Affordable Housing Score
United States,1.23,4.91,0.29,93.2,1.06,,,-0.0957616576636073,0.130272191767836,-0.0812769364625467,0.12939887105727,-0.233251977845048,,,48.4,52.17,48.65,52.16,46.11,,,50.91,
Alabama,1.18,5.02,0.19,94.12,1.41,32.39,33.4,0.0417965246156077,0.0520815373174665,-0.849713426653896,0.655349762423445,-1.14224865621178,1.6131675399497,0.915317440533022,50.7,50.87,35.84,60.92,30.96,71.5866023915217,65.2552906755504,54.16,68.42
Alaska,0.63,3.0,0.42,93.93,0.9,52.84,31.36,1.55493652968697,1.48794628267881,0.917690500786208,0.546729469641302,0.182289360836886,-0.674088942693648,1.17167205583491,75.92,74.8,65.29,59.11,53.04,24.7253341806824,69.5278675972485,69.94,47.13
Arizona,0.79,3.43,0.26,94.81,1.2,48.16,33.24,1.11475034639348,1.182291906191,-0.311807883519951,1.04981293094807,-0.596850649191739,-0.15064833933077,0.935423684870426,68.58,69.7,44.8,67.5,40.05,35.4495755120627,65.5903947478404,68.59,50.52
Arkansas,1.29,4.42,0.16,94.89,0.72,47.21,38.8,-0.260831476398665,0.478576016137667,-1.0802443737113,1.09554779106687,0.64977336685406,-0.0443943706994154,0.236731694145673,45.65,57.98,32.0,68.26,60.83,37.6265048421507,53.9455282357612,57.3,45.79
California,1.24,3.92,0.44,92.42,0.96,50.39,32.58,-0.12327329411945,0.833988081821168,1.07137779882448,-0.316516015101009,0.0264613588311608,-0.400065549907526,1.01836194276221,47.95,63.9,67.86,44.72,50.44,30.3395203477512,66.9726990460369,52.19,48.66
Colorado,0.94,5.18,0.23,93.1,1.82,52.5,48.75,0.702075799555839,-0.0616503237012539,-0.542338830577356,0.072230295908768,-2.20707333658423,-0.636061206551901,-1.01362537558657,61.7,48.97,40.96,51.2,13.22,25.5044457303981,33.1062437402238,53.96,29.31
Connecticut,1.39,5.53,0.43,91.38,0.53,38.97,43.53,-0.535947840957095,-0.310438769679705,0.994534149805343,-0.911069196645383,1.14322870653886,0.877218999324113,-0.357659154078801,41.07,44.83,66.58,34.82,69.05,56.5085023999655,44.0390140986866,40.24,50.27
Delaware,0.91,4.25,0.22,94.4,0.86,41.56,40.32,0.784610708923368,0.599416118470058,-0.619182479596491,0.815421772839238,0.286174695507369,0.587537126950213,0.0457223729403451,63.08,59.99,39.68,63.59,54.77,50.5735055947786,50.7620395490058,62.22,50.67
District of Columbia,1.24,5.15,0.61,89.71,1.0,36.58,45.48,-0.12327329411945,-0.0403255997602443,2.37771983214977,-1.86578440162529,-0.0774239758393226,1.14453161514405,-0.6027040069409,47.95,49.33,89.63,18.9,48.71,61.9851982935551,39.9549332176517,38.73,50.97
Florida,1.23,5.05,0.2,93.78,1.24,42.9,37.29,-0.0957616576636073,0.0307568133764562,-0.772869777634761,0.460976606918553,-0.700735983862222,0.43766310803862,0.426484375079913,48.4,50.51,37.12,57.68,38.32,47.5028894870757,57.1080729179986,52.2,52.31
Georgia,0.95,4.38,0.15,94.66,1.52,36.18,31.78,0.674564163099996,0.507008981392348,-1.15708802273044,0.964060068225326,-1.42793332655561,1.18927012825198,1.11889316444923,61.24,58.45,30.72,66.07,26.2,62.90180011675,68.6482194074871,61.92,65.78
Hawaii,0.96,3.71,0.43,93.08,0.55,41.07,41.7,0.647052526644153,0.983261149408239,0.994534149805343,0.0607965808790709,1.09128603920361,0.642341805507438,-0.127693984469755,60.78,66.39,66.58,51.01,68.19,51.6963428281923,47.8717669255041,59.39,49.78
Idaho,1.0,4.82,0.19,94.06,1.14,61.44,66.04,0.537005980820781,0.194246363590866,-0.849713426653896,0.621048617334346,-0.441022647186014,-1.63596697451432,-3.0,58.95,53.24,35.84,60.35,42.65,5.0183949819921,0.0,57.51,2.51
Illinois,2.49,6.21,0.21,92.46,0.71,37.58,35.37,-3.0,-0.793799179009266,-0.696026128615626,-0.293648585041614,0.675744700521681,1.0326853323742,0.667759307128748,0.0,36.77,38.4,45.11,61.26,59.6936937355678,61.1293217854791,27.29,60.41
Indiana,1.37,6.07,0.2,92.91,0.92,44.75,43.57,-0.480924568045409,-0.694283800617886,-0.772869777634761,-0.0363899968733754,0.130346693501644,0.230747484914405,-0.362685715163152,41.98,38.43,37.12,49.39,52.17,43.2636060547993,43.9552380806141,43.27,43.61
Iowa,1.42,8.12,0.29,90.28,0.71,50.88,43.36,-0.618482750324623,-2.15147326992024,-0.0812769364625467,-1.53992352327885,0.675744700521681,-0.45487022846475,-0.336296269470311,39.69,14.14,48.65,24.33,61.26,29.2166831143374,44.3950621754948,26.05,36.81
Kansas,1.41,7.08,0.33,91.05,1.44,50.65,37.38,-0.59097111386878,-1.41221617329856,0.226097659613993,-1.09972549463542,-1.22016265721464,-0.429145583427685,0.415174612640124,40.15,26.46,53.77,31.67,29.66,29.7437291626745,56.9195768773354,32.76,43.33
Kentucky,1.0,4.74,0.23,94.23,1.36,47.48,40.51,0.537005980820781,0.251112294100227,-0.542338830577356,0.718235195086792,-1.01239198787367,-0.0745928670472741,0.0218462077896785,58.95,54.19,40.96,61.97,33.13,37.0077986114941,50.3641034631613,58.37,43.69
Louisiana,1.27,4.77,0.2,94.22,1.36,39.41,35.73,-0.205808203486979,0.229787570159217,-0.772869777634761,0.712518337571939,-1.01239198787367,0.828006634905382,0.622520257369591,46.57,53.83,37.12,61.88,33.13,55.5002403944512,60.3753376228265,54.09,57.94
Maine,1.21,5.86,0.37,92.16,0.61,62.98,48.1,-0.0407383847519213,-0.545010733030816,0.533472255690533,-0.465154310487104,0.935458037197889,-1.80821024997988,-0.931943757965872,49.32,40.92,58.89,42.25,65.59,1.48947796269175,34.4676040339021,44.16,17.98
Maryland,1.63,5.07,0.26,92.97,0.87,42.96,41.98,-1.19622711589733,0.0165403307491159,-0.311807883519951,-0.0020888517842757,0.260203361839748,0.430952331072429,-0.162879912060211,30.06,50.28,44.8,49.97,54.34,47.3653992135964,47.2853347989965,43.44,47.33
Massachusetts,1.22,5.47,0.42,91.47,0.45,50.36,48.5,-0.0682500212077643,-0.267789321797685,0.917690500786208,-0.859617479011734,1.35099937587982,-0.396710161424431,-0.98220936880938,48.86,45.54,65.29,35.67,72.52,30.4082654844908,33.629843853177,43.36,32.02
Michigan,0.97,4.44,0.28,93.87,1.16,47.44,49.33,0.61954089018831,0.464359533510327,-0.158120585481681,0.512428324552202,-0.492965314521255,-0.0701190157364811,-1.08651051130966,60.33,57.74,47.36,58.54,41.78,37.0994587938136,31.8914914781724,58.87,34.5
